_____ would be woefully incomplete without _____.,situational
A 55-gallon drum of lube.,sexual
"A bigger, blacker dick.",sexual
A Burmese tiger pit.,situational
A dollop of sour cream.,general
A magic hippie love cloud.,oddly specific
A man in yoga pants with a ponytail and feather earrings.,oddly specific
A piñata full of scorpions.,oddly specific
A sad fat dragon with no friends.,oddly specific
A slightly shittier parallel universe.,expletive
"A soulful rendition of ""Ol' Man River.""",oddly specific
A squadron of moles wearing aviator goggles.,sexual
"A sweaty, panting leather daddy.",sexual
A sweet spaceship.,general
"After months of debate, the Occupy Wall Street General Assembly could only agree on ""More _____!""",political
All of this blood.,macabre
An army of skeletons.,general
An ether-soaked rag.,illegal
An unhinged ferris wheel rolling toward the sea.,oddly specific
Another shot of morphine.,political
Basic human decency.,philosophical
Beefin' over turf.,pop culture
"Before _____, all we had was _____.",general
"Before I run for president, I must destroy all evidence of my involvement with _____.",political
Being awesome at sex.,sexual
Boris the Soviet Love Hammer.,political
Bullshit.,expletive
Catastrophic urethral trauma.,sexual
Charades was ruined for me forever when my mom had to act out _____.,freudian
Daddy's belt.,freudian
Death by Steven Seagal.,pop culture
"Dining with cardboard cutouts of the cast of ""Friends.""",pop culture
Double penetration.,sexual
"During his midlife crisis, my dad got really into _____.",freudian
Everyone down on the ground! We don't want to hurt anyone. We're just here for _____.,situational
Existing.,philosophical
Fetal alcohol syndrome.,macabre
Finding Waldo.,pop culture
Fuck Mountain.,sexual
Getting hilariously gang-banged by the Blue Man Group.,sexual
Grandpa's ashes.,macabre
"Graphic violence, adult language, and some sexual content.",sexual
Hillary Clinton's death stare.,political
"I spent my whole life working toward _____, only to have it ruined by _____.",situational
"I went from _____ to _____, all thanks to _____.",situational
"If God didn't want us to enjoy _____, he wouldn't have given us _____.",situational
"In his newest and most difficult stunt, David Blaine must escape from _____.",pop culture
Intimacy problems.,sexual
Jeff Goldblum.,pop culture
"Little Miss Muffet Sat on a tuffet, Eating her curds and _____.",childhood
Living in a trashcan.,situational
"Loki, the trickster god.",pop culture
Making a friend.,general
Me.,general
Members of New York's social elite are paying thousands of dollars just to experience _____.,situational
Mild autism.,political
Mooing.,situational
"My country, 'tis of thee, sweet land of _____.",political
My first kill.,macabre
My mom freaked out when she looked at my browser history and found _____.com/_____.,freudian
"My new favorite porn star is Joey ""_____"" McGee.",sexual
Next time on Dr. Phil: How to talk to your child about _____.,pop culture
Nunchuck moves.,pop culture
Oncoming traffic.,general
One Ring to rule them all.,pop culture
Only two things in life are certain: death and _____.,macabre
Power.,general
Pretty Pretty Princess Dress-Up Board Game®.,pop culture
Pumping out a baby every nine months.,situational
Rising from the grave.,macabre
