Days Wasted,Nitrogen Levels,Price per Pound,Unread Emails,Big Foot Sightings,Ice Cream Related Deaths,Years Old,Hours Wasted,Bad Dates,Beard Length in Meters
460.0,0.24232695147725947,8.0,2123.0,4.0,328.0,39.0,121.0,72495.0,40.36452175918429
545.0,0.47273726451863207,8.0,1595.0,3.0,332.0,63.0,99.0,80783.0,35.64350519894355
1903.0,0.19998395010055892,6.0,9175.0,4.0,969.0,71.0,161.0,23497.0,71.57599795761107
1757.0,0.8602300588644348,6.0,2665.0,2.0,468.0,23.0,30.0,23077.0,61.06511766621677
887.0,0.4294346646707383,2.0,6364.0,2.0,924.0,74.0,31.0,85888.0,23.818107860287945
405.0,0.9999275422552597,5.0,3190.0,2.0,514.0,32.0,135.0,40968.0,66.47161920653528
401.0,0.805243796473316,5.0,4024.0,4.0,397.0,47.0,49.0,57455.0,7.674378243217051
396.0,0.2632233543625514,9.0,7665.0,2.0,220.0,47.0,169.0,88347.0,63.35074659426608
1631.0,0.005355929408014104,7.0,3587.0,1.0,645.0,95.0,39.0,62849.0,7.2269941933773865
918.0,0.1857248925669357,1.0,407.0,3.0,574.0,56.0,139.0,87806.0,52.38728423574479
131.0,0.023857006901506383,10.0,1082.0,3.0,87.0,89.0,147.0,89718.0,26.678611887309447
609.0,0.12630608041528124,10.0,5376.0,5.0,978.0,31.0,4.0,65813.0,46.38972510358064
1543.0,0.03668251929871891,5.0,389.0,2.0,683.0,39.0,142.0,70181.0,29.912670769738938
1397.0,0.7386604899760083,4.0,9884.0,2.0,51.0,69.0,39.0,6917.0,19.31566687019142
464.0,0.6783918765843565,4.0,2379.0,4.0,269.0,39.0,66.0,5392.0,78.98029611402578
756.0,0.8205788947076745,4.0,6135.0,2.0,475.0,52.0,172.0,17836.0,5.195809934180145
1007.0,0.008816788707769363,10.0,4986.0,2.0,548.0,15.0,134.0,12400.0,43.38758012240549
1023.0,0.6218475383291086,7.0,6037.0,2.0,295.0,102.0,131.0,22116.0,20.561426602524385
1440.0,0.6545466742849156,1.0,5934.0,5.0,476.0,77.0,62.0,85678.0,64.05270631344337
526.0,0.005640166696752158,1.0,2066.0,4.0,73.0,5.0,74.0,33744.0,13.24826146513641
1133.0,0.7564898237292503,12.0,9282.0,4.0,355.0,52.0,121.0,90822.0,19.628102459026195
15.0,0.0048638920693950816,11.0,361.0,4.0,122.0,41.0,48.0,45074.0,24.63734174298137
933.0,0.3166696536491391,6.0,8144.0,1.0,657.0,3.0,5.0,30659.0,68.16207569602649
1676.0,0.5313757211499739,4.0,6396.0,4.0,315.0,87.0,107.0,17547.0,13.612952760573654
822.0,0.2672323302972611,2.0,4269.0,5.0,876.0,76.0,163.0,9929.0,5.703620583378651
1399.0,0.4670624294155985,9.0,4774.0,1.0,652.0,59.0,5.0,10356.0,52.61978389432661
1518.0,0.7768433156522982,1.0,4367.0,1.0,802.0,44.0,65.0,76355.0,64.43996760602873
140.0,0.603515216103988,6.0,5330.0,3.0,254.0,35.0,137.0,83792.0,76.0566376718388
1688.0,0.2720369983582692,9.0,1557.0,5.0,307.0,103.0,15.0,37323.0,16.428025834791132
1002.0,0.24161539955348965,2.0,6589.0,2.0,430.0,90.0,118.0,2519.0,36.730373285075856
